5.3429e-03 5.3378e-03 5.3258e-03 5.3010e-03 5.2644e-03 5.2161e-03 5.1551e-03 5.0810e-03 4.9915e-03 4.8857e-03 4.7609e-03 4.6180e-03 4.4560e-03 4.2813e-03 4.0960e-03 3.9108e-03 3.7272e-03 3.5510e-03 3.3737e-03 3.1934e-03 2.9953e-03 2.7794e-03 2.5430e-03 2.2961e-03 2.0463e-03 1.7986e-03 1.5541e-03 1.3004e-03 1.0364e-03 7.5331e-04 4.6056e-04 1.1917e-04 1.2540e-04 4.8213e-04 8.1861e-04 1.1713e-03 1.5347e-03 1.9052e-03 2.2788e-03 2.6723e-03 3.0886e-03 3.5433e-03 4.0211e-03 4.5129e-03 4.9947e-03 5.4591e-03 5.9148e-03 6.3743e-03 6.8703e-03 7.4110e-03 8.0116e-03 8.6474e-03 9.3116e-03 9.9616e-03 1.0585e-02 1.1155e-02 1.1661e-02 1.2095e-02 1.2455e-02 1.2741e-02 1.2955e-02 1.3098e-02 1.3167e-02 1.3196e-02
5.3429e-03 5.3379e-03 5.3261e-03 5.3016e-03 5.2656e-03 5.2180e-03 5.1580e-03 5.0851e-03 4.9969e-03 4.8926e-03 4.7696e-03 4.6286e-03 4.4687e-03 4.2964e-03 4.1137e-03 3.9313e-03 3.7509e-03 3.5783e-03 3.4053e-03 3.2298e-03 3.0371e-03 2.8273e-03 2.5979e-03 2.3593e-03 2.1195e-03 1.8852e-03 1.6582e-03 1.4291e-03 1.2012e-03 9.6946e-04 7.8022e-04 6.5426e-04 6.6548e-04 8.1636e-04 1.0548e-03 1.3590e-03 1.6876e-03 2.0339e-03 2.3896e-03 2.7692e-03 3.1753e-03 3.6219e-03 4.0930e-03 4.5788e-03 5.0547e-03 5.5136e-03 5.9640e-03 6.4185e-03 6.9100e-03 7.4466e-03 8.0433e-03 8.6755e-03 9.3361e-03 9.9825e-03 1.0603e-02 1.1169e-02 1.1672e-02 1.2103e-02 1.2461e-02 1.2744e-02 1.2957e-02 1.3099e-02 1.3167e-02 1.3196e-02
5.3428e-03 5.3380e-03 5.3267e-03 5.3033e-03 5.2689e-03 5.2235e-03 5.1661e-03 5.0963e-03 5.0119e-03 4.9118e-03 4.7937e-03 4.6580e-03 4.5041e-03 4.3382e-03 4.1626e-03 3.9881e-03 3.8165e-03 3.6539e-03 3.4922e-03 3.3295e-03 3.1513e-03 2.9576e-03 2.7462e-03 2.5285e-03 2.3131e-03 2.1099e-03 1.9217e-03 1.7431e-03 1.5776e-03 1.4261e-03 1.3142e-03 1.2552e-03 1.2753e-03 1.3765e-03 1.5524e-03 1.7879e-03 2.0611e-03 2.3604e-03 2.6777e-03 3.0263e-03 3.4081e-03 3.8348e-03 4.2891e-03 4.7592e-03 5.2199e-03 5.6638e-03 6.0999e-03 6.5409e-03 7.0200e-03 7.5452e-03 8.1313e-03 8.7533e-03 9.4040e-03 1.0041e-02 1.0651e-02 1.1208e-02 1.1702e-02 1.2126e-02 1.2476e-02 1.2754e-02 1.2962e-02 1.3101e-02 1.3168e-02 1.3196e-02
5.3427e-03 5.3383e-03 5.3278e-03 5.3062e-03 5.2743e-03 5.2323e-03 5.1791e-03 5.1145e-03 5.0360e-03 4.9429e-03 4.8325e-03 4.7054e-03 4.5609e-03 4.4054e-03 4.2410e-03 4.0790e-03 3.9211e-03 3.7740e-03 3.6298e-03 3.4869e-03 3.3303e-03 3.1604e-03 2.9746e-03 2.7855e-03 2.6024e-03 2.4376e-03 2.2943e-03 2.1678e-03 2.0583e-03 1.9626e-03 1.8968e-03 1.8683e-03 1.8981e-03 1.9885e-03 2.1385e-03 2.3369e-03 2.5676e-03 2.8238e-03 3.0998e-03 3.4126e-03 3.7639e-03 4.1647e-03 4.5958e-03 5.0435e-03 5.4819e-03 5.9030e-03 6.3170e-03 6.7369e-03 7.1965e-03 7.7036e-03 8.2729e-03 8.8786e-03 9.5134e-03 1.0134e-02 1.0729e-02 1.1271e-02 1.1751e-02 1.2162e-02 1.2501e-02 1.2770e-02 1.2970e-02 1.3104e-02 1.3168e-02 1.3195e-02
5.3426e-03 5.3386e-03 5.3293e-03 5.3099e-03 5.2815e-03 5.2440e-03 5.1965e-03 5.1388e-03 5.0683e-03 4.9843e-03 4.8842e-03 4.7685e-03 4.6366e-03 4.4946e-03 4.3450e-03 4.1992e-03 4.0592e-03 3.9320e-03 3.8100e-03 3.6917e-03 3.5617e-03 3.4203e-03 3.2642e-03 3.1070e-03 2.9581e-03 2.8318e-03 2.7314e-03 2.6502e-03 2.5862e-03 2.5304e-03 2.4961e-03 2.4878e-03 2.5280e-03 2.6191e-03 2.7607e-03 2.9419e-03 3.1459e-03 3.3704e-03 3.6110e-03 3.8909e-03 4.2121e-03 4.5862e-03 4.9920e-03 5.4139e-03 5.8255e-03 6.2185e-03 6.6047e-03 6.9974e-03 7.4317e-03 7.9150e-03 8.4620e-03 9.0460e-03 9.6596e-03 1.0259e-02 1.0834e-02 1.1356e-02 1.1817e-02 1.2210e-02 1.2535e-02 1.2790e-02 1.2981e-02 1.3109e-02 1.3169e-02 1.3195e-02
5.3424e-03 5.3390e-03 5.3310e-03 5.3145e-03 5.2902e-03 5.2582e-03 5.2176e-03 5.1681e-03 5.1072e-03 5.0342e-03 4.9465e-03 4.8445e-03 4.7274e-03 4.6016e-03 4.4695e-03 4.3427e-03 4.2235e-03 4.1193e-03 4.0227e-03 3.9321e-03 3.8315e-03 3.7208e-03 3.5959e-03 3.4710e-03 3.3556e-03 3.2653e-03 3.2037e-03 3.1619e-03 3.1358e-03 3.1117e-03 3.1021e-03 3.1102e-03 3.1613e-03 3.2581e-03 3.4000e-03 3.5747e-03 3.7629e-03 3.9652e-03 4.1779e-03 4.4302e-03 4.7244e-03 5.0736e-03 5.4545e-03 5.8499e-03 6.2326e-03 6.5943e-03 6.9489e-03 7.3100e-03 7.7148e-03 8.1699e-03 8.6903e-03 9.2482e-03 9.8363e-03 1.0411e-02 1.0960e-02 1.1458e-02 1.1896e-02 1.2269e-02 1.2575e-02 1.2816e-02 1.2995e-02 1.3114e-02 1.3171e-02 1.3195e-02
5.3423e-03 5.3395e-03 5.3330e-03 5.3196e-03 5.3000e-03 5.2741e-03 5.2411e-03 5.2007e-03 5.1506e-03 5.0898e-03 5.0157e-03 4.9288e-03 4.8282e-03 4.7201e-03 4.6070e-03 4.5008e-03 4.4040e-03 4.3244e-03 4.2545e-03 4.1929e-03 4.1225e-03 4.0429e-03 3.9489e-03 3.8550e-03 3.7711e-03 3.7138e-03 3.6871e-03 3.6799e-03 3.6867e-03 3.6896e-03 3.7013e-03 3.7240e-03 3.7864e-03 3.8915e-03 4.0382e-03 4.2124e-03 4.3917e-03 4.5787e-03 4.7696e-03 4.9994e-03 5.2707e-03 5.5979e-03 5.9558e-03 6.3254e-03 6.6791e-03 7.0084e-03 7.3296e-03 7.6569e-03 8.0295e-03 8.4537e-03 8.9447e-03 9.4739e-03 1.0034e-02 1.0580e-02 1.1101e-02 1.1572e-02 1.1985e-02 1.2334e-02 1.2620e-02 1.2844e-02 1.3010e-02 1.3120e-02 1.3172e-02 1.3194e-02
5.3421e-03 5.3400e-03 5.3351e-03 5.3252e-03 5.3105e-03 5.2912e-03 5.2665e-03 5.2360e-03 5.1974e-03 5.1496e-03 5.0902e-03 5.0194e-03 4.9362e-03 4.8469e-03 4.7539e-03 4.6693e-03 4.5959e-03 4.5418e-03 4.4994e-03 4.4673e-03 4.4274e-03 4.3787e-03 4.3149e-03 4.2509e-03 4.1968e-03 4.1703e-03 4.1758e-03 4.2005e-03 4.2373e-03 4.2649e-03 4.2962e-03 4.3328e-03 4.4071e-03 4.5220e-03 4.6760e-03 4.8533e-03 5.0281e-03 5.2041e-03 5.3777e-03 5.5887e-03 5.8401e-03 6.1477e-03 6.4844e-03 6.8293e-03 7.1544e-03 7.4509e-03 7.7377e-03 8.0297e-03 8.3683e-03 8.7597e-03 9.2193e-03 9.7176e-03 1.0247e-02 1.0762e-02 1.1254e-02 1.1695e-02 1.2081e-02 1.2405e-02 1.2669e-02 1.2874e-02 1.3026e-02 1.3126e-02 1.3174e-02 1.3193e-02
5.3419e-03 5.3405e-03 5.3373e-03 5.3308e-03 5.3213e-03 5.3089e-03 5.2926e-03 5.2722e-03 5.2454e-03 5.2110e-03 5.1665e-03 5.1121e-03 5.0466e-03 4.9763e-03 4.9037e-03 4.8407e-03 4.7907e-03 4.7619e-03 4.7467e-03 4.7437e-03 4.7334e-03 4.7147e-03 4.6798e-03 4.6442e-03 4.6180e-03 4.6204e-03 4.6558e-03 4.7100e-03 4.7748e-03 4.8254e-03 4.8753e-03 4.9255e-03 5.0117e-03 5.1372e-03 5.3000e-03 5.4824e-03 5.6554e-03 5.8236e-03 5.9830e-03 6.1782e-03 6.4123e-03 6.7026e-03 7.0197e-03 7.3414e-03 7.6390e-03 7.9034e-03 8.1559e-03 8.4125e-03 8.7167e-03 9.0747e-03 9.5022e-03 9.9687e-03 1.0466e-02 1.0950e-02 1.1411e-02 1.1822e-02 1.2180e-02 1.2478e-02 1.2720e-02 1.2906e-02 1.3042e-02 1.3132e-02 1.3175e-02 1.3193e-02
5.3416e-03 5.3410e-03 5.3395e-03 5.3366e-03 5.3322e-03 5.3266e-03 5.3188e-03 5.3086e-03 5.2935e-03 5.2725e-03 5.2429e-03 5.2047e-03 5.1569e-03 5.1054e-03 5.0527e-03 5.0111e-03 4.9840e-03 4.9800e-03 4.9911e-03 5.0163e-03 5.0346e-03 5.0447e-03 5.0375e-03 5.0289e-03 5.0292e-03 5.0588e-03 5.1224e-03 5.2045e-03 5.2957e-03 5.3682e-03 5.4361e-03 5.4998e-03 5.5981e-03 5.7346e-03 5.9069e-03 6.0955e-03 6.2684e-03 6.4307e-03 6.5782e-03 6.7595e-03 6.9783e-03 7.2527e-03 7.5518e-03 7.8516e-03 8.1228e-03 8.3559e-03 8.5750e-03 8.7966e-03 9.0666e-03 9.3912e-03 9.7865e-03 1.0221e-02 1.0687e-02 1.1140e-02 1.1569e-02 1.1950e-02 1.2280e-02 1.2552e-02 1.2770e-02 1.2937e-02 1.3059e-02 1.3139e-02 1.3177e-02 1.3192e-02
